year,state,county,state_name,county_name,in_universe,subgroup,subgroup_type,share_debt_coll,share_debt_coll_quality,index_air_hazard,index_air_hazard_quality,share_transit_commuter,share_transit_commuter_quality,share_transportation_cost,share_transportation_cost_quality
2014,01,101,Alabama,Montgomery County,TRUE,Neighborhoods of color,race-ethnicity,NA,NA,6,Strong,NA,NA,NA,NA
2014,01,101,Alabama,Montgomery County,TRUE,White neighborhoods,race-ethnicity,NA,NA,6,Strong,NA,NA,NA,NA
2014,01,101,Alabama,Montgomery County,TRUE,Mixed neighborhoods,race-ethnicity,NA,NA,8,Strong,NA,NA,NA,NA
2014,01,103,Alabama,Morgan County,TRUE,All,all,NA,NA,24,Strong,NA,NA,NA,NA
2014,01,103,Alabama,Morgan County,TRUE,Neighborhoods of color,race-ethnicity,NA,NA,9,Strong,NA,NA,NA,NA
2014,01,103,Alabama,Morgan County,TRUE,White neighborhoods,race-ethnicity,NA,NA,27,Strong,NA,NA,NA,NA
2014,01,103,Alabama,Morgan County,TRUE,Mixed neighborhoods,race-ethnicity,NA,NA,16,Strong,NA,NA,NA,NA
2014,01,105,Alabama,Perry County,TRUE,All,all,NA,NA,13,Strong,NA,NA,NA,NA
2014,01,105,Alabama,Perry County,TRUE,Neighborhoods of color,race-ethnicity,NA,NA,13,Strong,NA,NA,NA,NA
2014,01,105,Alabama,Perry County,TRUE,White neighborhoods,race-ethnicity,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,105,Alabama,Perry County,TRUE,Mixed neighborhoods,race-ethnicity,NA,NA,14,Strong,NA,NA,NA,NA
